id,dep_delayed_15min
0,0.026172414
1,0.025073325
2,0.031211773
3,0.2296212
4,0.23685464
5,0.09690001
6,0.06584367
7,0.31845877
8,0.13936655
9,0.25932238
10,0.2553152
11,0.21542925
12,0.093302354
13,0.16372813
14,0.06620229
15,0.21507943
16,0.07226665
17,0.38387915
18,0.4311008
19,0.01996956
20,0.27084374
21,0.050753564
22,0.25369343
23,0.1459727
24,0.31889197
25,0.32962963
26,0.016680332
27,0.02294888
28,0.29997
29,0.14352177
30,0.114363335
31,0.35013482
32,0.037705198
33,0.33178017
34,0.56770325
35,0.2862301
36,0.21342045
37,0.123132266
38,0.06505586
39,0.17201683
40,0.20695557
41,0.16823709
42,0.1964304
43,0.34145653
44,0.15186001
45,0.4042189
46,0.003090879
47,0.27815828
48,0.5239008
49,0.09167825
50,0.6726621
51,0.011230557
52,0.22593814
53,0.41802576
54,0.24060576
55,0.05976323
56,0.28900576
57,0.52134633
58,0.10994785
59,0.28853273
60,0.116141364
61,0.08700563
62,0.16411066
63,0.2664616
64,0.16994552
65,0.16307557
66,0.02584917
67,0.043351706
68,0.1511322
69,0.27170965
70,0.013648629
71,0.28711277
72,0.5684637
73,0.3563596
74,0.72004735
75,0.22941357
76,0.08484504
77,0.13101484
78,0.12225885
79,0.059978455
80,0.16938378
81,0.17350179
82,0.083371855
83,0.17220788
84,0.11156839
85,0.020314125
86,0.094049565
87,0.18685159
88,0.29506114
89,0.34002316
90,0.13971724
91,0.32979146
92,0.11813123
93,0.106603555
94,0.2011349
95,0.15089674
96,0.31886947
97,0.17795366
98,0.18455702
99,0.27939907
100,0.06771171
101,0.17774664
102,0.057664543
103,0.16062087
104,0.0042207795
105,0.035818107
106,0.24623315
107,0.035334583
108,0.09587073
109,0.16379052
110,0.22572395
111,0.16080889
112,0.5570816
113,0.013138188
114,0.051044673
115,0.14011414
116,0.09794685
117,0.41458055
118,0.061549928
119,0.19225553
120,0.4581333
121,0.3647528
122,0.20384519
123,0.17266633
124,0.16632423
125,0.017539063
126,0.052853346
127,0.037049897
128,0.115274265
129,0.4058587
130,0.32888559
131,0.13948518
132,0.023645949
133,0.1460739
134,0.027464518
135,0.13185479
136,0.24481884
137,0.20041774
138,0.020382017
139,0.054161686
140,0.29734606
141,0.18178166
142,0.44968668
143,0.2375065
144,0.15733565
145,0.23092262
146,0.17358029
147,0.22849178
148,0.1239499
149,0.6354277
150,0.4486361
151,0.24282002
152,0.11986002
153,0.11077844
154,0.18134834
155,0.15369259
156,0.20804988
157,0.22005326
158,0.28329834
159,0.04435126
160,0.10013795
161,0.44433144
162,0.69361126
163,0.1100666
164,0.08598505
165,0.11401849
166,0.1749244
167,0.008330356
168,0.08230454
169,0.21784595
170,0.38592878
171,0.22829743
172,0.1267438
173,0.21043189
174,0.2617345
175,0.17701812
176,0.13819088
177,0.00671393
178,0.31311145
179,0.15831704
180,0.01382553
181,0.1202662
182,0.24633741
183,0.48350942
184,0.17212719
185,0.32679337
186,0.309397
187,0.28118634
188,0.26496696
189,0.4789198
190,0.4714182
191,0.3728194
192,0.15814033
193,0.16763198
194,0.17239346
195,0.13547719
196,0.13647167
197,0.09169673
198,0.38177884
199,0.2825329
200,0.25344574
201,0.28267223
202,0.21413127
203,0.021407394
204,0.048607506
205,0.40564254
206,0.48765352
207,0.022360506
208,0.13561429
209,0.17819084
210,0.014571633
211,0.051448047
212,0.20680438
213,0.29147726
214,0.13037479
215,0.18434176
216,0.025103515
217,0.099858485
218,0.21815519
219,0.17853864
220,0.19664395
221,0.3820917
222,0.33220017
223,0.1742719
224,0.23059629
225,0.11307763
226,0.23285392
227,0.3470283
228,0.30737343
229,0.28918713
230,0.06975426
231,0.17233588
232,0.06991961
233,0.16615108
234,0.15484145
235,0.14356196
236,0.015711812
237,0.2280394
238,0.11027829
239,0.095906615
240,0.17376277
241,0.33162597
242,0.20822708
243,0.10854565
244,0.11133536
245,0.20901273
246,0.38589123
247,0.55012995
248,0.8381925
249,0.24460976
250,0.26987702
251,0.062062707
252,0.046992674
253,0.12472026
254,0.32886672
255,0.13829312
256,0.07709797
257,0.026089031
258,0.19043157
259,0.012806773
260,0.28694063
261,0.05576967
262,0.40183255
263,0.2012968
264,0.033043027
265,0.22619915
266,0.2917703
267,0.113157496
268,0.21815602
