id,dep_delayed_15min
0,0.030299654
1,0.027974436
2,0.0386982
3,0.1848215
4,0.20219992
5,0.087088235
6,0.046585932
7,0.24884005
8,0.14688273
9,0.25857255
10,0.24958389
11,0.19621204
12,0.10699945
13,0.17204118
14,0.061538316
15,0.23943262
16,0.047437992
17,0.3329652
18,0.40619597
19,0.012783259
20,0.23008497
21,0.045664188
22,0.22097729
23,0.13730386
24,0.2956363
25,0.4227372
26,0.017471477
27,0.02453174
28,0.2866371
29,0.14724453
30,0.107167006
31,0.40986416
32,0.046438392
33,0.32199427
34,0.54874
35,0.28980425
36,0.19971465
37,0.1325001
38,0.0923401
39,0.19691569
40,0.14880872
41,0.17670256
42,0.17755008
43,0.3098274
44,0.14267182
45,0.42791408
46,0.005258328
47,0.20507208
48,0.44854376
49,0.08883631
50,0.5009384
51,0.024656454
52,0.18279305
53,0.44725502
54,0.32403645
55,0.051145248
56,0.26819745
57,0.4550178
58,0.11611065
59,0.2683268
60,0.1527332
61,0.08229641
62,0.16829444
63,0.25997138
64,0.18717428
65,0.16441934
66,0.026916275
67,0.08675368
68,0.13431588
69,0.21357603
70,0.016330527
71,0.28191367
72,0.42233744
73,0.29963908
74,0.6658227
75,0.25655207
76,0.108728945
77,0.16102818
78,0.08724251
79,0.09596571
80,0.16689937
81,0.20094287
82,0.1020286
83,0.17574006
84,0.11311535
85,0.018536078
86,0.14298837
87,0.16971889
88,0.29387078
89,0.32059386
90,0.16151798
91,0.2547602
92,0.13051942
93,0.12920094
94,0.18501325
95,0.17193186
96,0.27197734
97,0.22433896
98,0.1900408
99,0.3106067
100,0.074321136
101,0.17601474
102,0.054722212
103,0.17424935
104,0.007722775
105,0.058956325
106,0.25150523
107,0.058169145
108,0.10958816
109,0.17263997
110,0.21359211
111,0.19734073
112,0.5345747
113,0.01493049
114,0.032562178
115,0.14129743
116,0.117176615
117,0.42679054
118,0.091469005
119,0.16767319
120,0.40481535
121,0.3582859
122,0.2027036
123,0.15560047
124,0.19534954
125,0.018523173
126,0.049280215
127,0.03079724
128,0.07878508
129,0.45700538
130,0.39899823
131,0.10386893
132,0.029973283
133,0.18762642
134,0.032597292
135,0.22898492
136,0.23038147
137,0.14800052
138,0.015695484
139,0.060879707
140,0.30128294
141,0.16984333
142,0.39870995
143,0.23947579
144,0.20184809
145,0.2380686
146,0.1510476
147,0.22915056
148,0.11992945
149,0.5182887
150,0.37830618
151,0.2221198
152,0.13075227
153,0.18117036
154,0.17528668
155,0.14836042
156,0.21660955
157,0.2098435
158,0.30541256
159,0.034990843
160,0.09144967
161,0.33912772
162,0.56231016
163,0.1416424
164,0.100801
165,0.11903808
166,0.14164984
167,0.009721482
168,0.118057
169,0.21358041
170,0.21392743
171,0.23043728
172,0.11749083
173,0.17978415
174,0.2715939
175,0.19140692
176,0.12044369
177,0.008637704
178,0.24472667
179,0.14882381
180,0.016299954
181,0.11430594
182,0.23404483
183,0.44507074
184,0.1917344
185,0.3243414
186,0.2590013
187,0.27240568
188,0.23914959
189,0.31183147
190,0.42849252
191,0.38742328
192,0.15314713
193,0.16464072
194,0.17681052
195,0.13355933
196,0.11083949
197,0.091502115
198,0.3180236
199,0.33597258
200,0.23034348
201,0.28146744
202,0.251499
203,0.015788784
204,0.043470148
205,0.35930866
206,0.467133
207,0.027431386
208,0.15482177
209,0.15687628
210,0.015791208
211,0.05656125
212,0.19763134
213,0.30698386
214,0.12895323
215,0.17065737
216,0.02584793
217,0.096727
218,0.23620231
219,0.1529523
220,0.20693327
221,0.3518977
222,0.24814782
223,0.113618486
224,0.35255438
225,0.08287668
226,0.20680083
227,0.31833097
228,0.30518445
229,0.41276684
230,0.031468634
231,0.16503681
