id,dep_delayed_15min
0,0.029326623
1,0.018334363
2,0.045093853
3,0.25039595
4,0.23566361
5,0.09849286
6,0.035393167
7,0.16207832
8,0.16573058
9,0.26525378
10,0.26640606
11,0.19093594
12,0.08219151
13,0.15595509
14,0.042630803
15,0.17686254
16,0.04240502
17,0.43527386
18,0.5480932
19,0.0044103917
20,0.2619522
21,0.06648863
22,0.2417493
23,0.12740198
24,0.3184164
25,0.36560026
26,0.017033864
27,0.0250629
28,0.18643892
29,0.13090754
30,0.10171473
31,0.41777974
32,0.0768218
33,0.33781046
34,0.6231977
35,0.290522
36,0.16899073
37,0.124256894
38,0.07932949
39,0.19435224
40,0.1810968
41,0.19207756
42,0.14874327
43,0.31353766
44,0.11053443
45,0.5203578
46,0.0009532638
47,0.23172598
48,0.48580208
49,0.08019438
50,0.45261514
51,0.022204418
52,0.2406145
53,0.49825457
54,0.2852317
55,0.047129575
56,0.1529852
57,0.2248026
58,0.13542873
59,0.34474996
60,0.16145438
61,0.076176845
62,0.14074013
63,0.27107772
64,0.1810254
65,0.17310588
66,0.030428004
67,0.07198871
68,0.13632475
69,0.29757613
70,0.01634193
71,0.2520963
72,0.3937101
73,0.4033518
74,0.6571734
75,0.26152307
76,0.10698617
77,0.123416156
78,0.06823768
79,0.06667236
80,0.18835019
81,0.12337585
82,0.071871586
83,0.14609383
84,0.16112344
85,0.022114841
86,0.1689434
87,0.25216633
88,0.32654002
89,0.2274587
90,0.18919595
91,0.3507247
92,0.10301579
93,0.13963054
94,0.21807782
95,0.17532727
96,0.3410586
97,0.18629724
98,0.21401668
99,0.3679001
100,0.12866272
101,0.19337864
102,0.047960345
103,0.25776288
104,0.0028929324
105,0.06886652
106,0.30653244
107,0.04536367
108,0.074988134
109,0.1737021
110,0.21019286
111,0.17002995
112,0.5223102
113,0.009761878
114,0.04592448
115,0.12803662
116,0.1142818
117,0.5309873
118,0.071406476
119,0.13575333
120,0.3956924
121,0.34890047
122,0.2623483
123,0.23582435
124,0.18836534
125,0.018235458
126,0.046898928
127,0.028782161
128,0.12944883
129,0.43317217
130,0.41670156
131,0.13383158
132,0.031119639
133,0.1976291
134,0.038488314
135,0.2048006
136,0.19538362
137,0.25398228
138,0.012171495
139,0.072022
140,0.31701747
141,0.15019199
142,0.37217608
143,0.24146566
144,0.2266
145,0.20041628
146,0.13620017
147,0.20495912
148,0.124309085
149,0.69370055
150,0.43278903
151,0.2580751
152,0.19591619
153,0.2567735
154,0.19305827
155,0.16241041
156,0.19048522
157,0.2075961
158,0.2846081
159,0.05317151
160,0.10875388
161,0.39305153
162,0.7197216
163,0.09141089
164,0.08384217
165,0.11476323
166,0.16015738
167,0.0028365394
168,0.16748562
169,0.21669328
170,0.26956937
171,0.2171427
172,0.08730928
173,0.20666707
174,0.18667044
175,0.12118821
176,0.11024962
177,0.0049428144
178,0.21895996
179,0.19084348
180,0.012695437
181,0.12338862
182,0.27622423
183,0.43721396
184,0.14368476
185,0.43291402
186,0.2839067
187,0.3075234
188,0.21931112
189,0.35413197
190,0.38663733
191,0.37050715
192,0.21552636
193,0.17278247
194,0.1336227
195,0.11887547
196,0.07188341
197,0.1074418
198,0.27364573
199,0.3762705
200,0.23561546
201,0.2988676
202,0.25769815
203,0.018603558
204,0.05462631
205,0.2493981
206,0.5034709
207,0.02573505
208,0.103183985
209,0.15955478
210,0.028572751
211,0.0645862
212,0.2091124
213,0.30399802
214,0.09661781
215,0.11659999
216,0.019149523
217,0.063280925
218,0.46660885
219,0.17989688
220,0.20039928
221,0.29214934
222,0.24670507
223,0.14987692
224,0.4042193
225,0.07929176
226,0.16990544
227,0.41844913
228,0.31485325
229,0.4879552
230,0.019564668
231,0.12517849
232,0.15932652
233,0.1457394
234,0.1288907
235,0.14137991
236,0.012341865
237,0.260782
238,0.11618529
239,0.09978845
240,0.13243459
241,0.34491122
242,0.11955483
243,0.08106281
244,0.12326043
245,0.21356718
246,0.38261455
247,0.46240604
248,0.6279641
249,0.26163334
250,0.15761012
251,0.036684908
252,0.029557837
253,0.14131883
254,0.45659205
255,0.18008938
256,0.0932343
257,0.007898353
258,0.11981302
259,0.008550012
260,0.3836142
261,0.07564353
262,0.33680594
263,0.17148712
264,0.07180446
265,0.23138434
266,0.19707371
267,0.0902253
268,0.18854843
269,0.26752272
270,0.09599352
271,0.26944837
272,0.23911542
273,0.014811611
274,0.32042003
275,0.04692175
276,0.025376564
277,0.20283194
278,0.09438541
279,0.27966183
280,0.13492796
281,0.38173193
282,0.15909669
283,0.051670954
284,0.1840731
285,0.23249084
286,0.2050396
287,0.10461445
288,0.23647422
289,0.02702433
290,0.12229448
291,0.13217556
292,0.37696546
293,0.2359569
294,0.39339033
295,0.04290086
296,0.013218361
297,0.17021683
298,0.19654569
299,0.20162353
300,0.22319388
301,0.18793923
302,0.11880286
303,0.33940658
304,0.18988368
305,0.270898
306,0.08915957
307,0.06403692
308,0.17582762
309,0.20199698
310,0.34823385
311,0.16706797
312,0.03346662
313,0.22785482
314,0.25647497
315,0.13900718
316,0.10635276
317,0.08838114
318,0.26057202
319,0.18063214
320,0.23839259
321,0.02808518
322,0.105547614
323,0.13347745
324,0.0918376
325,0.3918251
326,0.04808756
327,0.24185023
