session_id,target
1,0.0022189201993660797
2,2.5188870703631535e-09
3,6.159905448841717e-09
4,1.32263930275989e-08
5,2.729086054820741e-05
6,0.00015117634795420504
7,0.0004423678349872703
8,0.00010124805404623609
9,0.0007768334995364535
10,0.10510552862748403
11,2.3798624847254933e-05
12,9.553268369084648e-05
13,0.00028650448030027165
14,0.35895788628416886
15,3.47097128110591e-05
16,0.003831410734626062
17,0.015395373281254832
18,2.8336180598224788e-05
19,0.000784300801974028
20,1.1894150923931889e-07
21,0.06460675905717496
22,6.363842124977007e-08
23,2.909042448718464e-05
24,0.00033665250556245193
25,0.0708076151870768
26,2.2706705805117685e-09
27,0.0005338895369412117
28,2.133952519165372e-07
29,0.014131867604250756
30,5.5225772778419896e-05
31,0.014109352909785256
32,0.045267352030733406
33,0.0005508634065859494
34,6.789380601310087e-08
35,0.014341341468334672
36,0.00033225215677196385
37,6.7479451552524755e-09
38,8.106278974265208e-09
39,5.5225772778419896e-05
40,2.5387491582696088e-05
41,0.0003969848326190007
42,0.0012786952034882836
43,1.6095582990582873e-06
44,1.4017426637873465e-05
45,0.23967190953631515
46,5.286784245764924e-06
47,0.008975499481189994
48,0.0006108065078786798
49,2.4469955173111408e-05
50,7.637402377340143e-06
51,6.466425296477191e-08
52,5.872118046523616e-06
53,0.037334639903209184
54,5.7894824407772976e-05
55,5.084388958396841e-06
56,0.0018533963659127723
57,7.747131520301598e-07
58,1.1019559391937184e-05
59,6.986556336050162e-06
60,5.253199411080376e-06
61,6.030410516447109e-06
62,0.0012781443449096201
63,6.476066144783077e-06
64,2.8502894046277694e-05
65,3.1619796911237757e-06
66,6.472320528504606e-08
67,0.00018032035322145952
68,0.0001430709524987285
69,0.09098960246030509
70,0.0001074533387988054
71,0.00015923467325147664
72,6.986556336050162e-06
73,0.029970488943641935
74,2.5188870703631535e-09
75,3.1982935269341784e-05
76,0.0003220139778416655
77,0.00013425399349807317
78,0.0014227836865634196
79,5.747225497797612e-06
80,0.00012342186732761746
81,1.796439721194992e-05
82,2.9077743908291236e-05
83,2.454141757002307e-08
84,0.2585069738905481
85,9.340521459048946e-06
86,2.931183934929879e-07
87,0.0010476552618785408
88,0.0006444132098272317
89,0.00023634249521710607
90,0.017486044003316215
91,0.00011242025861378249
92,8.399492178068138e-06
93,0.03333499192294386
94,0.0007731169714011698
95,0.03985141992037009
96,1.625710028871738e-08
97,8.647155333338914e-05
98,5.276105547649317e-05
99,1.665982991173426e-05
100,8.744238196639557e-05
101,0.00043544678297902133
102,0.07212428695664766
103,0.0022741932732029497
104,0.0021061556328468025
105,2.479230048835264e-06
106,0.0002422635715345665
107,0.0002788028806602822
108,1.676244549761444e-05
109,1.489254473602401e-05
110,5.581160670636269e-05
111,0.0001470029764296212
112,2.12876892314472e-07
113,0.016254145598505874
114,5.961498041268389e-06
115,0.00011462132446642054
116,0.0008946752693092454
117,0.001240476039574636
118,0.004114716036611837
119,0.010892172205591414
120,8.115326530433406e-05
121,2.8097859854024895e-05
122,5.5225772778419896e-05
123,0.00028439996174516415
